name,sub_category,plan,aum,cagr,expense_ratio,sebi_risk,scheme_code
SBI Liquid Fund,Liquid Fund,Growth,58511.23,4.26,0.18,Moderate,119800
SBI Equity Hybrid Fund,Aggressive Hybrid Fund,Growth,50932.81,14.25,0.84,Very High,119609
HDFC Liquid Fund,Liquid Fund,Growth,46613.9,4.24,0.2,Moderately Low,100868
HDFC Balanced Advantage Fund,Balanced Advantage Fund,Growth,43950.49,13.9,0.97,Very High,100119
ICICI Pru Liquid Fund,Liquid Fund,Growth,39901.99,4.33,0.2,Moderate,103340
ICICI Pru Balanced Advantage Fund,Balanced Advantage Fund,Growth,39478.67,12.09,1,High,104685
Kotak Flexicap Fund,Flexi Cap Fund,Growth,36463.37,12.79,0.64,Very High,112090
Axis Bluechip Fund,Large Cap Fund,Growth,35702.21,14.35,0.47,Very High,112277
Aditya Birla SL Liquid Fund,Liquid Fund,Growth,34891.15,4.37,0.21,Moderate,100047
SBI BlueChip Fund,Large Cap Fund,Growth,31933.78,14.58,0.94,Very High,103504
Mirae Asset Large Cap Fund,Large Cap Fund,Growth,31929.34,14.27,0.6,Very High,107578
HDFC Mid-Cap Opportunities Fund,Mid Cap Fund,Growth,31837.02,17.34,1,Very High,105758
Axis Long Term Equity Fund,Equity Linked Savings Scheme (ELSS),Growth,31655.93,13.07,0.77,Very High,112323
ICICI Pru Bluechip Fund,Large Cap Fund,Growth,31235.13,14.86,1.08,Very High,108466
Axis Liquid Fund,Liquid Fund,Growth,28933.73,4.32,0.16,Moderately Low,112210
UTI Liquid Cash Plan,Liquid Fund,Growth,27778.69,4.3,0.14,Moderately Low,102012
HDFC Flexi Cap Fund,Flexi Cap Fund,Growth,27770.41,15.11,0.96,Very High,101762
Nippon India Liquid Fund,Liquid Fund,Growth,25763.13,4.36,0.18,Moderately Low,100837
UTI Flexi Cap Fund,Flexi Cap Fund,Growth,24898.96,17.83,0.93,Very High,120662
SBI Focused Equity Fund,Focused Fund,Growth,24706.56,16.85,0.67,Very High,119727
SBI Balanced Advantage Fund,Balanced Advantage Fund,Growth,24019.66,-,0.48,Moderately High,149134
Kotak Equity Arbitrage Fund,Arbitrage Fund,Growth,23825.89,5.07,0.41,Low,105968
HDFC Corp Bond Fund,Corporate Bond Fund,Growth,23609.85,7.61,0.3,Moderate,113070
ICICI Pru Value Discovery Fund,Value Fund,Growth,23526.82,20.58,1.21,Very High,120323
ICICI Pru Savings Fund,Low Duration Fund,Growth,23329.67,6.42,0.4,Moderate,101797
SBI Savings Fund,Money Market Fund,Growth,22869.33,5.5600000000000005,0.23,Moderate,134643
Mirae Asset Emerging Bluechip,Large & Mid Cap Fund,Growth,21910.25,21.23,0.76,Very High,118834
Parag Parikh Flexi Cap Fund,Flexi Cap Fund,Growth,21906.96,23.72,0.79,Very High,122639
Aditya Birla SL Frontline Equity Fund,Large Cap Fund,Growth,21671.93,13.67,1.07,Very High,103174
HDFC Top 100 Fund,Large Cap Fund,Growth,21177.55,11.35,1.19,Very High,102000
SBI Overnight Fund,Overnight Fund,Growth,20493.67,3.74,0.1,Low,119833
Nippon India Small Cap Fund,Small Cap Fund,Growth,19768.28,27.3,0.28,Very High,113177
Axis Focused 25 Fund,Focused Fund,Growth,19559.61,14.08,0.6,Very High,117560
ICICI Pru Equity & Debt Fund,Aggressive Hybrid Fund,Growth,19273.66,19.14,1.26,Very High,100356
HDFC Floating Rate Debt Fund,Floating Rate Fund,Growth,18660.8,6.74,0.23,Moderate,106841
Kotak Emerging Equity Fund,Mid Cap Fund,Growth,18634.65,23.74,0.47,Very High,104908
HDFC Hybrid Equity Fund,Aggressive Hybrid Fund,Growth,18441.64,13.48,1.12,Very High,102948
HDFC Low Duration Fund,Low Duration Fund,Growth,17920.36,6.55,0.39,Moderate,118942
IDFC Corp Bond Fund,Corporate Bond Fund,Growth,17740.28,6.92,0.28,Moderately Low,135916
Franklin India Flexi Cap Fund,Flexi Cap Fund,Growth,10113.58,16.05,1.15,Very High,100520
Axis Short Term Fund,Short Duration Fund,Growth,10085.99,7.51,0.29,Moderate,144759
Tata Money Market Fund,Money Market Fund,Growth,9969.44,5.64,0.25,Moderate,102153
SBI Magnum Medium Duration Fund,Medium Duration Fund,Growth,9967.97,8.37,0.69,Moderately High,102053
DSP Tax Saver Fund,Equity Linked Savings Scheme (ELSS),Growth,9872.41,18.29,0.8,Very High,104772
Tata Arbitrage Fund,Arbitrage Fund,Growth,9857.08,5.38,0.31,Low,145723
ICICI Pru LT Equity Fund (Tax Saving),Equity Linked Savings Scheme (ELSS),Growth,9751.65,14.3,1.07,Very High,100354
Motilal Oswal Flexi Cap Fund,Flexi Cap Fund,Growth,9690.03,7.23,1.02,Very High,129046
UTI Mastershare,Large Cap Fund,IDCW,9673.85,15.22,1.12,Very High,120657
Axis Overnight Fund,Overnight Fund,Growth,9563.2,3.7800000000000002,0.06,Low,146678
Kotak Equity Opp Fund,Large & Mid Cap Fund,Growth,9454.83,17.8,0.61,Very High,103234
HDFC TaxSaver,Equity Linked Savings Scheme (ELSS),Growth,9216.02,12.29,1.18,Very High,101979
Kotak Overnight Fund,Overnight Fund,Growth,9207.47,3.75,0.08,Low,146141
DSP Liquidity Fund,Liquid Fund,Growth,9202.25,4.26,0.15,Moderate,103347
IDFC Cash Fund,Liquid Fund,Growth,9143.8,4.15,0.12,Moderately Low,118364
Nippon India Low Duration Fund,Low Duration Fund,Growth,9118.53,6,0.36,Moderate,111753
Axis Small Cap Fund,Small Cap Fund,Growth,9052.05,29.06,0.35,Very High,125354
SBI Multicap Fund,Multi Cap Fund,Growth,8986.65,-,-,Very High,149882
HDFC Credit Risk Debt Fund,Credit Risk Fund,Growth,8925.4,8.46,0.85,Moderately High,128053
DSP Small Cap Fund,Small Cap Fund,Growth,8848.57,25.78,0.97,Very High,105989
Invesco India Contra Fund,Contra Fund,Growth,8725.8,16.3,0.57,Very High,105460
SBI Liquid Fund(FN-IDCW),Liquid Fund,IDCW,58511.23,2.54,0.18,Moderate,105282
SBI Liquid Fund(W-IDCW),Liquid Fund,IDCW,58511.23,2.49,0.18,Moderate,105283
SBI Liquid Fund(DD-IDCW),Liquid Fund,IDCW,58511.23,2.47,0.18,Moderate,105281
SBI Equity Hybrid Fund(IDCW),Aggressive Hybrid Fund,IDCW,50932.81,13.11,0.84,Very High,119604
HDFC Liquid Fund(M-IDCW),Liquid Fund,IDCW,46613.9,-0.03,0.2,Moderately Low,119090
HDFC Liquid Fund(DD-IDCW),Liquid Fund,IDCW,46613.9,-,0.2,Moderately Low,119089
HDFC Liquid Fund(W-IDCW),Liquid Fund,IDCW,46613.9,-0.02,0.2,Moderately Low,100874
HDFC Balanced Advantage Fund(IDCW),Balanced Advantage Fund,IDCW,43950.49,1.43,0.97,Very High,100120
HDFC Balanced Advantage Fund(IDCW-Reinv),Balanced Advantage Fund,IDCW,43950.49,1.24,0.97,Very High,118969
ICICI Pru Liquid Fund(IDCW),Liquid Fund,IDCW,39901.99,1.44,0.2,Moderate,103343
ICICI Pru Liquid Fund(H-IDCW),Liquid Fund,IDCW,39901.99,-0.17,0.2,Moderate,104308
ICICI Pru Liquid Fund(A-IDCW),Liquid Fund,IDCW,39901.99,-0.81,0.2,Moderate,112119
ICICI Pru Liquid Fund(Q-IDCW),Liquid Fund,IDCW,39901.99,-0.17,0.2,Moderate,120196
ICICI Pru Liquid Fund(M-IDCW),Liquid Fund,IDCW,39901.99,-0.05,0.2,Moderate,120189
ICICI Pru Liquid Fund(W-IDCW),Liquid Fund,IDCW,39901.99,-0.02,0.2,Moderate,120190
ICICI Pru Liquid Fund(DD-IDCW),Liquid Fund,IDCW,39901.99,-,0.2,Moderate,120188
ICICI Pru Balanced Advantage Fund(Q-IDCW),Balanced Advantage Fund,IDCW,39478.67,8.5,1,High,131450
ICICI Pru Balanced Advantage Fund(M-IDCW),Balanced Advantage Fund,IDCW,39478.67,7.12,1,High,122168
ICICI Pru Balanced Advantage Fund(IDCW),Balanced Advantage Fund,IDCW,39478.67,5.48,1,High,104686
Kotak Flexicap Fund(IDCW-Payout),Flexi Cap Fund,IDCW,36463.37,9.1,0.64,Very High,112089
Kotak Flexicap Fund(IDCW),Flexi Cap Fund,IDCW,36463.37,9.06,0.64,Very High,120165
Axis Bluechip Fund(IDCW),Large Cap Fund,IDCW,35702.21,6.9399999999999995,0.47,Very High,120466
Aditya Birla SL Liquid Fund(IDCW),Liquid Fund,IDCW,34891.15,4.37,0.21,Moderate,100047
Aditya Birla SL Liquid Fund(DD-IDCW),Liquid Fund,IDCW,34891.15,-,0.21,Moderate,119569
Aditya Birla SL Liquid Fund(W-IDCW),Liquid Fund,IDCW,34891.15,0.01,0.21,Moderate,100051
SBI BlueChip Fund(IDCW-Payout),Large Cap Fund,IDCW,31933.78,14.56,0.94,Very High,119585
Nippon India Small Cap Fund,Small Cap Fund,Bonus,19768.28,27.3,0.28,Very High,118777
Nippon India Growth Fund,Mid Cap Fund,Bonus,12178.26,20.9,0.41,Very High,100388
Nippon India Multi Cap Fund,Multi Cap Fund,Bonus,12157.2,14.67,0.81,Very High,101162
Nippon India Large Cap Fund,Large Cap Fund,Bonus,11069.44,12.33,0.23,Very High,106240
Nippon India Low Duration Fund,Low Duration Fund,Bonus,9118.53,6,0.36,Moderate,111743
Nippon India Pharma Fund,Sectoral Fund - Pharma & Health Care,Bonus,4851.32,23.05,0.88,Very High,102432
Nippon India Banking & PSU Debt Fund,Banking & PSU Fund,Bonus,4320.94,7.88,0.3,Moderately Low,134552
Nippon India Banking & Financial Services Fund,Sectoral Fund - Banks & Financial Services,Bonus,3294.55,7.26,0.69,Very High,101863
Nippon India Vision Fund,Large & Mid Cap Fund,Bonus,3089.02,14.55,0.74,Very High,118675
JM Liquid Fund,Liquid Fund,Bonus,2463.6,4.25,0.15,Moderately Low,120409
Nippon India Corp Bond Fund,Corporate Bond Fund,Bonus,2387.35,6.8,0.26,Moderate,100859
Nippon India Retirement Fund-Wealth Creation,Solution Oriented - Retirement Fund,Bonus,2275.09,8.2,0.31,Very High,133630
Invesco India Treasury Advantage Fund,Low Duration Fund,Bonus,2116.81,6.03,0.32,Moderate,104727
Nippon India Power & Infra Fund,Sectoral Fund - Energy & Power,Bonus,1695.57,15.35,0.54,Very High,101263
SBI Magnum Income Fund,Medium to Long Duration Fund,Bonus,1651.73,8.46,0.81,Moderately High,100640
L&T Ultra ST Fund,Ultra Short Duration Fund,Bonus,1561.61,5.14,0.23,Moderately Low,129925
